Voltage_measured,Current_measured,Temperature_measured,SoC,cycle_number,battery_id,SoH
3.96826335480456,-0.908672363697516,5.68541282078797,97.8077633659222,1,B0047,83.6263218891919
3.84657671454615,-0.995394891167436,6.31629524261139,92.8347265112161,1,B0047,83.6263218891919
3.80023774994086,-0.995610363629154,7.49320584120735,87.8558927667667,1,B0047,83.6263218891919
3.75362309307888,-0.995268161932861,8.28094247520449,82.8771990924784,1,B0047,83.6263218891919
3.70327993442261,-0.99520979039012,7.52130804552813,77.790543950947,1,B0047,83.6263218891919
3.64822679659617,-0.995502452669326,6.97884881499263,72.7029782296514,1,B0047,83.6263218891919
3.61421039793152,-0.995410647983723,7.55706500670669,67.7212513289796,1,B0047,83.6263218891919
3.58632679661906,-0.994856798754638,8.07615802845786,62.7401628919231,1,B0047,83.6263218891919
3.55853475619111,-0.995210525459086,7.74557419558662,57.7614201508488,1,B0047,83.6263218891919
3.5169304153854,-0.994985948729654,6.84534835779456,52.7784769955774,1,B0047,83.6263218891919
3.49392528309623,-0.995835584880123,7.75252178863705,47.7927939625178,1,B0047,83.6263218891919
3.47713077760594,-0.995254517838998,8.46104897880917,42.800474254518,1,B0047,83.6263218891919
3.45882873876663,-0.995136545660719,8.77408523859112,37.8115407855948,1,B0047,83.6263218891919
3.41797719282884,-0.995298707385577,7.58189972875968,32.8237203958321,1,B0047,83.6263218891919
3.38311935656331,-0.995472258130393,8.44893324319482,27.7178275737977,1,B0047,83.6263218891919
3.35119807016563,-0.995380026260493,9.24116537475236,22.5732805627949,1,B0047,83.6263218891919
3.30743631789491,-0.995623151597239,9.73409207875315,17.5365401683945,1,B0047,83.6263218891919
3.2122619421253,-0.995285874261913,8.6643132957509,12.4966397184146,1,B0047,83.6263218891919
3.08382664557903,-0.995635465485467,9.73563306951628,7.45452241751438,1,B0047,83.6263218891919
2.87365968665466,-0.995681291269455,10.9813009174641,2.41797127563846,1,B0047,83.6263218891919
3.94216426873711,-0.90063460946005,6.02218737618842,97.8204994852401,2,B0047,76.1290215724522
3.83560385771155,-0.995298901773031,7.25514315982819,92.804121154609,2,B0047,76.1290215724522
3.77511675413128,-0.995826337306468,6.95730595783702,87.7792962510435,2,B0047,76.1290215724522
3.71307743635024,-0.995130158277046,7.16197551669556,82.7660682229308,2,B0047,76.1290215724522
3.67242380051559,-0.995248581322841,7.51475429189138,77.7561777432252,2,B0047,76.1290215724522
3.63867704271402,-0.995473255735538,7.8205943433946,72.7405127180544,2,B0047,76.1290215724522
3.60735967946483,-0.995447700972504,7.6722688629153,67.7238560881683,2,B0047,76.1290215724522
3.56779646808173,-0.995211835038737,6.97408578369309,62.7091196026081,2,B0047,76.1290215724522
3.54083076830838,-0.99527153433355,7.5504907046171,57.699459921752,2,B0047,76.1290215724522
3.51996724412631,-0.995380036621303,8.06190120803399,52.6791089506108,2,B0047,76.1290215724522
3.5012722836146,-0.994996206572056,8.47550346661407,47.7836138694369,2,B0047,76.1290215724522
3.4723878135853,-0.995471332245671,7.53159726118826,42.8896469217379,2,B0047,76.1290215724522
3.4425251483214,-0.995525005671381,7.9915726369438,37.8740200757762,2,B0047,76.1290215724522
3.41903836686529,-0.995239564054253,8.57662104310367,32.8583915587503,2,B0047,76.1290215724522
3.39265675195861,-0.995675177655695,9.14644354882353,27.8138318067885,2,B0047,76.1290215724522
